Country,Year,Cost to import (% change),Cost to import (US$ per container),Deposit interest rate (%),Electric power consumption (% change),Electric power consumption (kWh per capita),"Foreign direct investment, net inflows (% change)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (% change),GDP per capita (constant 2010 US$),GNI per capita (% change),GNI per capita (constant 2010 US$),Gross domestic savings (% change),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (% change),Household final consumption expenditure per capita (constant 2010 US$),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Life expectancy at birth, total (years)",Merchandise imports from high-income economies (% of total merchandise imports),Trade (% change),Trade (constant 2010 US$),Trade in services (% change),Trade in services (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)"
Australia,1990,,,16.35,4.9,8527.23,11.73,8110892263.76,2.01,35812.93,1.41,34451.34,0.65,165048312023.84,2.64,18929.77,7.56,17.9,76.99,89.01,3.88,197181370792.06,8.0,48180515200.46,6.9
Australia,1991,,,11.41,-0.06,8522.16,-46.83,4312358476.32,-1.64,35225.04,-1.69,33869.18,-11.24,146498355199.97,-0.21,18889.24,7.27,14.09,77.28,86.24,-0.29,196614900340.51,-2.64,46910191130.94,9.6
Australia,1992,,,7.36,0.33,8550.33,32.16,5699133705.11,-0.81,34939.06,-0.15,33819.7,-5.8,138003579431.68,1.13,19102.73,3.22,10.67,77.38,84.22,3.03,202579842774.3,3.06,48346543517.57,10.8
Australia,1993,,,5.95,1.77,8701.76,-24.23,4318356055.64,3.05,36003.67,3.55,35020.98,7.16,147885616549.67,0.94,19281.5,0.99,9.42,77.88,83.79,11.39,225654473196.41,11.91,54106643873.77,10.9
Australia,1994,,,5.94,1.27,8812.49,15.8,5000720814.42,2.94,37063.08,3.01,36075.27,6.27,157161110393.92,1.33,19538.14,1.81,9.23,77.88,84.07,6.97,241390423014.89,16.42,62988302021.29,9.8
Australia,1995,,,7.38,2.06,8994.36,140.49,12026426011.75,2.63,38038.47,2.06,36819.43,4.98,164980770758.67,3.36,20194.24,1.89,10.7,77.83,83.52,7.45,259374003196.35,3.08,64931177941.28,8.5
Australia,1996,,,6.9,1.27,9108.3,-48.6,6181381324.81,2.59,39024.57,2.49,37735.79,5.56,174152923119.28,1.94,20586.77,4.64,10.5,78.08,82.19,5.29,273100530875.33,6.11,68900971313.36,8.6
Australia,1997,,,5.21,2.01,9291.08,23.46,7631273089.61,2.79,40113.72,2.96,38853.2,7.22,186723710771.21,1.8,20957.1,2.61,8.89,78.48,80.48,3.22,281890572259.31,-3.13,66743465088.78,8.5
Australia,1998,,,4.48,5.3,9783.44,-21.94,5956935412.56,3.36,41459.69,3.57,40240.56,2.67,191707404299.48,3.8,21754.01,0.25,8.15,78.63,79.51,10.0,310085346074.65,4.24,69575071871.97,7.8
Australia,1999,,,4.19,2.59,10036.46,-44.42,3311038586.09,3.81,43041.05,3.87,41797.09,1.31,194212673350.25,4.26,22680.24,0.85,7.99,78.93,77.93,2.47,317743575119.15,14.49,79655459011.91,7.0
Australia,2000,,,5.07,1.57,10193.91,349.8,14892978180.18,2.64,44176.31,2.86,42993.26,5.76,205395852280.46,2.9,23337.83,1.47,9.27,79.23,75.42,8.92,346097274238.03,0.57,80111966116.39,6.3
Australia,2001,,,3.86,4.34,10636.38,-28.04,10717133150.69,0.56,44425.57,0.63,43264.79,-0.8,203762828954.25,1.9,23782.16,4.48,8.66,79.63,74.47,9.94,380487970817.9,0.64,80624782741.88,6.8
Australia,2002,,,3.7,1.66,10813.12,36.76,14656321800.54,2.6,45579.19,2.66,44417.42,7.48,218999363932.56,1.84,24219.61,4.38,8.16,79.94,73.16,-2.71,370161890066.86,6.79,86098625129.42,6.4
Australia,2003,,,3.51,-3.5,10434.87,-38.69,8985246029.5,1.81,46402.68,1.72,45180.33,0.46,220000193339.2,3.0,24946.32,3.0,8.41,80.24,71.37,-0.32,368983674458.97,5.42,90761558000.15,5.9
Australia,2004,,,3.85,1.15,10554.82,377.53,42907672820.38,2.95,47771.05,2.88,46481.35,6.59,234489612717.31,3.93,25927.25,2.77,8.85,80.49,70.58,-4.29,353139851967.88,-2.97,88065291811.81,5.4
Australia,2005,,1120.0,3.89,-0.91,10458.45,-158.48,-25093141435.19,1.85,48656.48,0.96,46928.43,4.68,245468914754.08,3.14,26740.84,2.34,9.06,80.84,68.67,9.21,385672898758.64,0.09,88144160249.03,5.0
Australia,2006,0.0,1120.0,4.06,0.31,10490.48,-221.75,30551100656.6,1.47,49374.06,1.24,47508.21,7.73,264431986311.67,1.64,27179.97,2.67,9.41,81.04,66.23,8.69,419171367834.23,3.04,90821571505.94,4.8
Australia,2007,0.0,1120.0,4.53,4.6,10972.89,45.46,44440090037.77,3.11,50910.34,2.47,48679.61,5.29,278428925691.1,4.12,28300.83,3.54,8.2,81.29,65.27,4.73,439008112345.36,13.1,102716809376.89,4.4
Australia,2008,10.62,1239.0,4.72,-2.04,10749.11,1.62,45160024270.94,1.65,51749.9,2.0,49652.89,4.85,291919660621.26,2.65,29051.68,2.33,8.91,81.4,64.12,5.5,463150628818.55,-5.16,97419898701.88,4.2
Australia,2009,-9.69,1119.0,3.08,0.4,10791.59,-36.49,28683266147.88,-0.26,51616.69,0.29,49797.15,7.49,313797997172.35,-1.74,28546.42,4.35,6.02,81.54,59.24,8.66,503250312794.36,3.22,100555817683.49,5.6
Australia,2010,0.0,1119.0,4.21,-0.41,10746.85,22.76,35210733743.08,0.44,51845.65,0.07,49831.83,-3.19,303798115035.67,0.7,28745.5,1.82,7.28,81.7,57.61,-9.53,455305205672.51,-2.51,98029414366.7,5.2
Australia,2011,0.0,1119.0,4.34,-0.04,10742.47,86.18,65554890649.53,0.97,52346.9,0.67,50164.7,8.42,329377091116.49,2.38,29428.62,2.85,7.74,81.9,58.84,5.93,482314463574.05,-1.63,96428762339.98,5.1
Australia,2012,0.09,1120.0,3.92,-2.77,10445.15,-12.21,57550426822.61,1.86,53321.88,2.92,51628.49,3.87,342109864258.64,0.82,29669.34,3.3,6.98,82.05,58.44,7.28,517433590387.3,-1.33,95149795763.15,5.2
Australia,2013,4.46,1170.0,3.25,-2.98,10133.86,-6.17,53997299139.89,0.72,53703.57,1.33,52317.55,-1.37,337405922716.76,-0.13,29630.21,1.76,6.18,82.15,57.1,-1.89,507633066797.83,1.39,96469134230.63,5.7
Brazil,1990,,,9394.29,0.82,1447.26,-12.56,989000000.0,-4.77,7909.81,-12.14,7704.33,-31.71,254627891189.77,1.15,4191.43,1430.72,,65.34,79.93,2.09,180361422926.09,11.33,29060232120.52,3.7
Brazil,1991,,,913.47,1.84,1473.89,11.53,1103000000.0,-0.16,7896.89,0.27,7725.05,-2.63,247939252356.6,6.49,4463.43,2947.73,,65.74,82.83,11.08,200346453552.33,-27.43,21090260042.52,
Brazil,1992,,,1560.18,0.64,1483.3,86.85,2061000000.0,-2.04,7735.46,-1.7,7593.41,3.83,257426198556.29,-2.22,4364.35,432.78,,66.17,84.79,15.51,231411486527.71,63.86,34557768689.71,6.4
Brazil,1993,,,3293.5,3.03,1528.21,-37.31,1292000000.0,3.05,7971.5,2.47,7781.16,8.75,279950259576.84,2.93,4492.07,951.65,,66.63,86.07,6.55,246559562978.67,12.47,38866547744.81,6.0
Brazil,1994,,,5175.24,1.99,1558.67,137.77,3072000000.0,3.73,8268.47,2.3,7960.37,8.82,304651783039.04,5.8,4752.7,1927.98,,67.11,87.99,3.9,256182174958.65,-7.38,35998708083.6,
Brazil,1995,,,52.25,4.38,1627.02,58.17,4859000000.0,2.82,8501.34,3.02,8200.7,-21.47,239230088408.49,6.96,5083.34,2075.89,,67.6,85.98,-10.17,230135514542.65,-3.3,34809132196.88,6.0
Brazil,1996,,,26.45,3.26,1680.06,130.5,11200000000.0,0.63,8555.07,1.52,8325.44,-10.79,213425064246.33,1.64,5166.9,66.01,,68.11,84.4,-3.92,221115044002.89,-16.51,29062651648.9,6.8
Brazil,1997,,,24.35,4.47,1755.22,75.45,19650000000.0,1.8,8709.03,1.26,8430.04,3.83,221598157653.28,1.45,5241.65,15.76,78.19,68.62,85.1,9.62,242375624542.35,22.41,35574733740.58,7.7
Brazil,1998,,,28.0,2.58,1800.59,62.41,31913000000.0,-1.2,8604.09,-2.49,8220.44,4.52,231620028778.29,-2.25,5123.79,6.93,86.36,69.11,87.9,-0.49,241177979448.6,16.27,41361446046.41,8.9
