Year,GNI per capita (constant 2010 US$),GDP per capita (constant 2010 US$),Household final consumption expenditure per capita (constant 2010 US$),"Inflation, consumer prices (annual %)",Deposit interest rate (%),Lending interest rate (%),"Life expectancy at birth, total (years)",Merchandise imports from high-income economies (% of total merchandise imports),Trade (constant 2010 US$),Trade in services (constant 2010 US$),Gross domestic savings (constant 2010 US$),"Foreign direct investment, net inflows (BoP, current US$)","Unemployment, total (% of total labor force) (national estimate)",Electric power consumption (kWh per capita),Cost to import (US$ per container),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,7704.33,7909.81,4191.43,1430.72,9394.29,,65.34,79.93,180361422926.09,29060232120.52,254627891189.77,989000000.0,3.7,1447.26,,1.15,11.33,0.82,-12.56,-31.71,-12.14,,2.09,-4.77
1991,7725.05,7896.89,4463.43,2947.73,913.47,,65.74,82.83,200346453552.33,21090260042.52,247939252356.6,1103000000.0,,1473.89,,6.49,-27.43,1.84,11.53,-2.63,0.27,,11.08,-0.16
1992,7593.41,7735.46,4364.35,432.78,1560.18,,66.17,84.79,231411486527.71,34557768689.71,257426198556.29,2061000000.0,6.4,1483.3,,-2.22,63.86,0.64,86.85,3.83,-1.7,,15.51,-2.04
1993,7781.16,7971.5,4492.07,951.65,3293.5,,66.63,86.07,246559562978.67,38866547744.81,279950259576.84,1292000000.0,6.0,1528.21,,2.93,12.47,3.03,-37.31,8.75,2.47,,6.55,3.05
1994,7960.37,8268.47,4752.7,1927.98,5175.24,,67.11,87.99,256182174958.65,35998708083.6,304651783039.04,3072000000.0,,1558.67,,5.8,-7.38,1.99,137.77,8.82,2.3,,3.9,3.73
1995,8200.7,8501.34,5083.34,2075.89,52.25,,67.6,85.98,230135514542.65,34809132196.88,239230088408.49,4859000000.0,6.0,1627.02,,6.96,-3.3,4.38,58.17,-21.47,3.02,,-10.17,2.82
1996,8325.44,8555.07,5166.9,66.01,26.45,,68.11,84.4,221115044002.89,29062651648.9,213425064246.33,11200000000.0,6.8,1680.06,,1.64,-16.51,3.26,130.5,-10.79,1.52,,-3.92,0.63
1997,8430.04,8709.03,5241.65,15.76,24.35,78.19,68.62,85.1,242375624542.35,35574733740.58,221598157653.28,19650000000.0,7.7,1755.22,,1.45,22.41,4.47,75.45,3.83,1.26,,9.62,1.8
1998,8220.44,8604.09,5123.79,6.93,28.0,86.36,69.11,87.9,241177979448.6,41361446046.41,231620028778.29,31913000000.0,8.9,1800.59,,-2.25,16.27,2.58,62.41,4.52,-2.49,,-0.49,-1.2
1999,8072.24,8512.82,5064.89,3.2,26.02,80.44,69.59,86.97,309281180311.77,49425145838.15,229020528826.86,28576000000.0,9.6,1823.55,,-1.15,19.5,1.28,-10.46,-1.12,-1.8,,28.24,-1.06
