Year,Merchandise imports from high-income economies (% of total merchandise imports),"Life expectancy at birth, total (years)",Trade (constant 2010 US$),Lending interest rate (%),Deposit interest rate (%),"Inflation, consumer prices (annual %)",Cost to import (US$ per container),Electric power consumption (kWh per capita),"Unemployment, total (% of total labor force) (national estimate)","Foreign direct investment, net inflows (BoP, current US$)",Household final consumption expenditure per capita (constant 2010 US$),GDP per capita (constant 2010 US$),GNI per capita (constant 2010 US$),Trade in services (constant 2010 US$),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,73.98,78.84,895470433146.19,6.86,4.08,2.28,,6486.15,2.3,1777361196.11,21112.36,36856.25,37102.52,,1520545951942.29,4.84,,4.0,-271.22,5.96,5.17,,9.33,5.21
1991,72.91,79.1,855093591624.97,7.53,5.07,3.03,,6689.65,2.1,1285720114.76,21507.15,37963.47,38228.44,,1589444622563.53,1.87,,3.14,-27.66,4.53,3.03,,-4.51,3.0
1992,73.31,79.15,825884073293.41,6.15,3.35,3.3,,6716.81,2.2,2759977744.1,21905.64,38179.51,38513.55,,1549085000447.02,1.85,,0.41,114.66,-2.54,0.75,,-3.42,0.57
1993,71.48,79.29,756567275765.38,4.86,2.14,1.71,,6789.28,2.4,118698479.55,22071.55,38150.55,38494.93,,1492205754603.34,0.76,,1.08,-95.7,-3.67,-0.05,,-8.39,-0.08
1994,70.37,79.69,767459212003.19,4.13,1.7,1.27,,7202.58,3.0,911689479.4,22497.47,38349.13,38664.29,,1439417393877.95,1.93,,6.09,668.07,-3.54,0.44,,1.44,0.52
1995,70.34,79.54,818260664147.41,3.51,0.9,0.69,,7364.89,3.0,39332003.28,22786.27,38945.03,39275.73,,1438863739573.28,1.28,,2.25,-95.69,-0.04,1.58,,6.62,1.55
1996,68.92,80.2,949383691821.1,2.66,0.3,-0.12,,7519.65,3.4,207641498.4,23250.07,39860.47,40326.19,211022665493.89,1457506499312.95,2.04,,2.1,427.92,1.3,2.67,,16.02,2.35
1997,68.65,80.42,1038283098336.14,2.45,0.3,0.13,,7674.94,3.4,3200076742.37,23399.36,40400.12,40960.21,228516476708.72,1485110160310.74,0.64,8.29,2.07,1441.15,1.89,1.57,,9.36,1.35
1998,68.91,80.5,982613286243.57,2.32,0.27,1.76,,7692.12,3.7,3268105339.1,23159.66,39483.41,40038.66,223664600938.6,1395715741309.38,-1.02,-2.12,0.22,2.13,-6.02,-2.25,,-5.36,-2.27
1999,67.51,80.57,934209606710.03,2.16,0.12,0.66,,7816.78,4.6,12308393448.14,23390.89,39332.82,39847.37,199520476201.38,1311021173718.69,1.0,-10.79,1.62,276.62,-6.07,-0.48,,-4.93,-0.38
