Year,Merchandise imports from high-income economies (% of total merchandise imports),Electric power consumption (kWh per capita),"Foreign direct investment, net inflows (BoP, current US$)","Unemployment, total (% of total labor force) (national estimate)",Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (constant 2010 US$),Deposit interest rate (%),GNI per capita (constant 2010 US$),Cost to import (US$ per container),Trade (constant 2010 US$),"Inflation, consumer prices (annual %)",Lending interest rate (%),Trade in services (constant 2010 US$),GDP per capita (constant 2010 US$),"Life expectancy at birth, total (years)",Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,74.68,4983.05,5574738855.38,,30878441367.57,9932.96,4.67,21955.3,,232652908924.09,2.35,7.36,40101945934.96,22178.49,75.3,3.35,20.35,7.41,93.13,11.4,5.42,,8.85,5.85
1991,72.69,5104.81,4887094440.1,,34010118005.17,10245.1,4.63,22643.57,,233480616537.63,3.46,7.58,36382871335.12,22997.78,75.65,3.14,-9.27,2.44,-12.34,10.14,3.13,,0.36,3.69
1992,72.58,5236.64,2204342221.04,2.2,36772016690.48,10516.48,2.87,23913.32,,240244060478.31,3.43,5.95,38100028719.69,23898.9,75.95,2.65,4.72,2.58,-54.89,8.12,5.61,,2.9,3.92
1993,70.65,5499.97,4686312017.49,2.1,40517659066.89,11443.41,2.3,25444.41,,269725290929.25,2.26,5.39,42485207638.22,25990.31,76.05,8.81,11.51,5.03,112.59,10.19,6.4,,12.27,8.75
1994,70.45,5842.56,8550165226.99,2.2,46823874203.24,11922.7,3.0,27977.15,,301716048095.16,2.29,5.88,47832283634.2,27939.63,76.2,4.19,12.59,6.23,82.45,15.56,9.95,,11.86,7.5
1995,71.14,6069.22,11535267660.29,2.2,51672122087.96,11989.83,3.5,29223.28,,353491071816.04,3.1,6.37,55565582147.17,29008.5,76.3,0.56,16.17,3.88,34.91,10.35,4.45,,17.16,3.83
1996,71.2,6312.69,9682130954.84,2.2,56326274053.25,12249.5,3.41,29730.24,,369329381281.0,1.72,6.26,57041877124.85,29951.02,76.6,2.17,2.66,4.01,-16.06,9.01,1.73,,4.48,3.25
1997,70.22,6829.23,13752707284.4,2.0,62651709615.24,12542.38,3.47,31989.45,,387402576492.24,1.38,6.32,58656225294.64,31363.41,76.9,2.39,2.83,8.18,42.04,11.23,7.6,,4.89,4.72
1998,68.64,6965.75,7313866999.42,3.5,61549395243.31,11758.24,4.6,30093.83,,365385240074.46,2.0,7.44,58699130425.85,29641.23,77.3,-6.25,0.07,2.0,-46.82,-1.76,-5.93,,-5.68,-5.49
1999,67.95,7187.67,16577945945.52,3.8,61173092204.92,12722.5,1.68,31548.22,,416875823089.52,-0.27,5.8,71243112009.5,31197.61,77.55,8.2,21.37,3.19,126.66,-0.61,4.83,,14.09,5.25
2000,66.32,7575.44,15515295182.23,3.7,63466782436.8,14340.12,1.71,33183.04,,492333796857.29,0.02,5.83,79126078538.56,33390.06,77.95,12.71,11.06,5.39,-6.41,3.75,5.18,,18.1,7.03
2001,65.25,7516.17,17006874669.49,3.7,58572622873.24,14888.29,1.52,31852.63,,469899482158.63,1.36,5.65,87222779359.61,32191.94,78.25,3.82,10.23,-0.78,9.61,-7.71,-4.01,,-4.56,-3.59
2002,62.62,7756.32,6157249991.39,4.8,59872695451.25,15482.39,0.87,32318.09,,491812420729.05,1.0,5.35,93807202132.21,33242.99,78.55,3.99,7.55,3.2,-63.8,2.22,1.46,,4.66,3.26
2003,59.12,8113.59,17051420152.87,5.2,65489918482.83,15826.93,0.5,33980.41,,554964159336.6,-0.39,5.31,108009229904.09,35233.13,79.04,2.23,15.14,4.61,176.93,9.38,5.14,,12.84,5.99
2004,58.47,8314.33,24390314129.16,4.4,78592468993.7,16414.09,0.4,35333.04,,645282996874.74,0.51,5.3,126683135219.26,38117.41,79.49,3.71,17.29,2.47,43.04,20.01,3.98,,16.27,8.19
2005,58.25,8677.7,18090329984.27,4.1,87398612664.0,16579.66,0.44,37240.85,367.0,720989490493.9,1.66,5.3,137454386733.95,40020.26,79.99,1.01,8.5,4.37,-25.83,11.2,5.4,,11.73,4.99
2006,57.61,8719.57,36923890240.83,3.6,96959216018.54,16591.25,0.57,40660.67,367.0,799788455193.25,0.43,5.31,157941623812.38,42223.89,80.14,0.07,14.9,0.48,104.11,10.94,9.18,0.0,10.93,5.51
2007,57.92,8706.58,47733209770.19,3.0,109391103172.46,16892.81,0.53,42752.67,367.0,808381837017.78,1.02,5.33,169781314728.89,44191.24,80.44,1.82,7.5,-0.15,29.27,12.82,5.15,0.0,1.07,4.66
2008,60.55,8401.05,12200705251.93,3.2,105923155519.7,16576.64,0.42,40705.18,439.0,907454614351.01,2.1,5.38,194193514396.13,42650.1,80.79,-1.87,14.38,-3.51,-74.44,-3.17,-4.79,19.62,12.26,-3.49
2009,60.0,8013.32,23821209699.62,4.3,105029711595.53,15902.21,0.29,39242.96,439.0,739032550830.96,6.52,5.38,176958376892.22,41133.3,81.24,-4.07,-8.88,-4.62,95.24,-0.84,-3.59,0.0,-18.56,-3.56
2010,58.87,8571.46,55075864345.04,3.1,128349541620.83,16543.84,0.21,46304.66,439.0,879723945727.91,0.6,5.38,202043649653.77,46569.68,81.54,4.03,14.18,6.97,131.21,22.2,17.99,0.0,19.04,13.22
2011,60.16,8549.51,48329198470.29,2.9,136064065522.94,16892.4,0.17,47409.5,439.0,940868636961.97,2.8,5.38,216352289986.78,48439.94,81.74,2.11,7.08,-0.26,-12.25,6.01,2.39,0.0,6.95,4.02
2012,61.84,8654.41,57149923946.97,2.8,139038578483.6,17066.51,0.14,47498.6,439.0,955701922563.36,5.25,5.38,231740225476.77,49000.71,82.0,1.03,7.11,1.23,18.25,2.19,0.19,0.0,1.58,1.16
2013,61.36,8839.71,66066890433.95,2.8,145586226096.02,17310.39,0.14,49013.56,440.0,985278666826.79,4.53,5.38,260195141173.51,50467.84,82.25,1.43,12.28,2.14,15.6,4.71,3.19,0.23,3.09,2.99
