Year,Trade in services (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)",Cost to import (US$ per container),"Foreign direct investment, net inflows (BoP, current US$)",Household final consumption expenditure per capita (constant 2010 US$),Trade (constant 2010 US$),"Inflation, consumer prices (annual %)",Deposit interest rate (%),Lending interest rate (%),GNI per capita (constant 2010 US$),"Life expectancy at birth, total (years)",GDP per capita (constant 2010 US$),Electric power consumption (kWh per capita),Merchandise imports from high-income economies (% of total merchandise imports),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,49125924628.21,2.1,,5544796309.52,36089.32,353362552765.5,3.16,8.28,7.42,65302.43,77.24,63881.69,7445.29,91.09,143608368211.08,0.54,-2.31,1.03,122.04,6.12,1.95,,-1.89,2.62
1991,49489635372.79,1.8,,2838789160.79,36289.91,336183112563.9,5.38,7.63,7.83,63964.84,77.51,62510.47,7538.41,90.68,133563047515.32,0.56,0.74,1.25,-48.8,-6.99,-2.05,,-4.86,-2.15
1992,51066277474.14,2.8,,1128487634.09,36060.34,333983057968.94,5.88,5.5,7.8,63066.13,77.81,61798.03,7430.3,91.09,126056040277.66,-0.63,3.19,-1.43,-60.25,-5.62,-1.4,,-0.65,-1.14
1993,52548159695.5,3.7,,1706937974.44,35600.66,330087198081.48,4.04,3.5,6.4,62700.75,78.09,61160.63,7235.09,91.11,127341237911.39,-1.27,2.9,-2.63,51.26,1.02,-0.58,,-1.17,-1.03
1994,51336122661.69,3.9,,3682699144.73,35748.68,333560940030.87,3.27,3.63,5.5,62524.59,78.35,61445.45,7155.49,90.79,132793976645.8,0.42,-2.31,-1.1,115.75,4.28,-0.28,,1.05,0.47
1995,50968534085.41,3.3,,4158247959.95,35824.01,333802759631.37,0.86,1.28,5.48,62919.46,78.42,61329.72,7283.38,91.21,131349207056.45,0.21,-0.72,1.79,12.91,-1.09,0.63,,0.07,-0.19
1996,54358833036.3,3.7,,4372941966.49,36052.42,346758783986.82,1.8,1.34,4.97,63175.21,78.9,61426.48,7393.54,90.49,128548640536.29,0.64,6.65,1.51,5.16,-2.13,0.41,,3.88,0.16
1997,59774771813.88,4.2,,7306214202.66,36547.92,397111579040.64,0.82,1.0,4.47,65547.62,79.08,62695.48,7341.61,90.33,131817980742.14,1.37,9.96,-0.7,67.08,2.54,3.76,,14.52,2.07
1998,63923641748.37,3.6,,9649104418.89,37227.8,406682435556.84,0.52,0.69,4.07,67548.51,79.32,64350.23,7481.43,90.77,138118790542.01,1.86,6.94,1.9,32.07,4.78,3.05,,2.41,2.64
1999,70175887945.54,3.1,,12426006171.62,37800.66,418998255701.3,0.02,1.24,3.9,68837.88,79.58,65096.54,7646.85,94.07,139388715870.08,1.54,9.78,2.21,28.78,0.92,1.91,,3.03,1.16
