Year,Cost to import (US$ per container),"Foreign direct investment, net inflows (BoP, current US$)",GNI per capita (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)",GDP per capita (constant 2010 US$),Trade (constant 2010 US$),"Inflation, consumer prices (annual %)",Trade in services (constant 2010 US$),Deposit interest rate (%),Lending interest rate (%),Electric power consumption (kWh per capita),"Life expectancy at birth, total (years)",Merchandise imports from high-income economies (% of total merchandise imports),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (constant 2010 US$),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,,48490000000.0,36404.0,5.6,36312.41,1791183055985.3,4.83,402514919863.76,,10.01,11713.33,75.21,76.56,1828109286313.06,23100.42,0.92,11.5,1.57,-28.95,-1.73,0.92,,4.03,0.77
1991,,23180000000.0,35870.37,6.8,35803.87,1787583166158.57,5.4,414826202226.71,,8.46,12134.17,75.37,76.23,1774880910865.25,22845.86,-1.1,3.06,3.59,-52.2,-2.91,-1.47,,-0.2,-1.4
1992,,19810000000.0,36620.76,7.5,36566.17,1865886756998.21,4.23,425710504985.1,,6.25,12014.96,75.62,74.48,1827936065683.47,23367.09,2.28,2.62,-0.98,-14.54,2.99,2.09,,4.38,2.13
1993,,51380000000.0,37129.75,6.9,37078.05,1926099480568.38,3.03,433873741677.82,,6.0,12261.52,75.42,73.39,1868326471484.22,23862.08,2.12,1.92,2.05,159.36,2.21,1.39,,3.23,1.4
1994,,46130000000.0,38105.43,6.1,38104.97,2104894882456.41,2.95,457465957525.55,,7.14,12455.16,75.62,72.29,2000368019808.91,24485.47,2.61,5.44,1.58,-10.22,7.07,2.63,,9.28,2.77
1995,,57800000000.0,38696.92,5.6,38677.72,2305146625396.71,2.61,484581171654.82,,8.83,12659.61,75.62,71.17,2063290089531.3,24919.3,1.77,5.93,1.64,25.3,3.15,1.55,,9.51,1.5
1996,,86520000000.0,39708.13,5.4,39681.52,2417133418403.7,2.81,517414380825.07,,8.27,12854.3,76.03,69.57,2184967296680.41,25491.5,2.3,6.78,1.54,49.69,5.9,2.61,,4.86,2.6
1997,,105590000000.0,40947.68,4.9,40965.85,2607450535045.85,2.93,547608442210.35,,8.44,12889.83,76.43,68.87,2365563735430.12,26134.43,2.52,5.84,0.28,22.04,8.27,3.12,,7.87,3.24
1998,,179030000000.0,42240.91,4.5,42292.89,2655302206764.44,2.34,569194026732.26,,8.35,13154.76,76.58,67.97,2456796747812.23,27212.86,4.13,3.94,2.06,69.55,3.86,3.16,,1.84,3.24
1999,,289443000000.0,43750.34,4.2,43768.88,2832626764025.8,1.55,586912104635.96,,7.99,13281.87,76.58,67.46,2523443413209.42,28327.2,4.09,3.11,0.97,61.67,2.71,3.57,,6.68,3.49
2000,,350066000000.0,45072.01,4.0,45055.82,3176126402161.28,2.19,626090470613.1,,9.23,13671.05,76.64,66.32,2531809451945.41,29435.95,3.91,6.68,2.93,20.94,0.33,3.02,,12.13,2.94
2001,,171471000000.0,45122.06,4.7,45047.49,2927269466198.99,3.38,589524572559.37,,6.92,13046.61,76.84,65.47,2385203440616.81,29902.12,1.58,-5.84,-4.57,-51.02,-5.79,0.11,,-7.84,-0.02
2002,,109466000000.0,45483.65,5.8,45428.65,2894168231754.9,2.83,601158245787.66,,4.68,13296.18,76.94,63.77,2311663850679.21,30389.85,1.63,1.97,1.91,-36.16,-3.08,0.8,,-1.13,0.85
2003,,111346000000.0,46425.05,6.0,46304.04,3015825133752.81,1.59,621079232016.6,,4.12,13307.49,77.04,62.35,2321844921937.83,31071.58,2.24,3.31,0.09,1.72,0.44,2.07,,4.2,1.93
2004,,207877000000.0,47806.67,5.5,47614.28,3387128188963.11,2.27,705375331003.92,,4.34,13388.59,77.49,60.88,2437365966052.08,31967.87,2.88,13.57,0.61,86.69,4.98,2.98,,12.31,2.83
2005,696.0,138327000000.0,48942.29,5.1,48755.62,3674159519442.8,2.68,745458948251.11,,6.19,13704.58,77.49,59.17,2552406191124.56,32787.81,2.56,5.68,2.36,-33.46,4.72,2.38,,8.47,2.4
2006,696.0,294288000000.0,49656.3,4.6,49575.4,3975227842543.68,3.39,809128263012.21,,7.96,13583.27,77.69,57.25,2628440896405.84,33460.74,2.05,8.54,-0.89,112.75,2.98,1.46,0.0,8.19,1.68
2007,696.0,340065000000.0,50250.41,4.6,49979.53,4209327605759.3,3.23,895325688856.48,,8.05,13657.45,77.99,56.49,2617867623676.01,33885.96,1.27,10.65,0.55,15.56,-0.4,1.2,0.0,5.89,0.82
2008,747.0,332734000000.0,49775.16,5.8,49364.64,4494651947647.76,2.85,960617853145.81,,5.09,13663.42,78.04,56.06,2382868519136.52,33452.06,-1.28,7.29,0.04,-2.16,-8.98,-0.95,7.33,6.78,-1.23
2009,789.0,153788000000.0,47919.47,9.3,47575.61,3614533409904.32,3.84,910510330954.14,,3.25,12913.71,78.39,53.36,2155719277047.33,32629.2,-2.46,-5.22,-5.49,-53.78,-9.53,-3.73,5.62,-19.58,-3.62
2010,789.0,259344000000.0,48880.84,9.6,48374.09,4217327000000.0,-0.36,972641000000.0,,3.25,13394.02,78.54,51.99,2239979000000.0,32979.78,1.07,6.82,3.72,68.64,3.91,2.01,0.0,16.68,1.68
